ticker,empresa
FHER3,"FERTILIZANTES HERINGER S.A."
FICT3,"FICTOR ALIMENTOS S.A"
FIQE3,"UNIFIQUE TELECOMUNICAÇÕES S.A."
FLRY3,"FLEURY S.A."
FRAS3,"FRASLE MOBILITY S.A."
GEPA3,"RIO PARANAPANEMA ENERGIA S.A."
GEPA4,"RIO PARANAPANEMA ENERGIA S.A."
GFSA3,"GAFISA S.A."
GGBR3,"GERDAU S.A."
GGBR4,"GERDAU S.A."
GGPS3,"GPS PARTICIPACOES E EMPREENDIMENTOS S.A."
GMAT3,"GRUPO MATEUS S.A."
GOAU3,"METALURGICA GERDAU S.A."
GOAU4,"METALURGICA GERDAU S.A."
GPAR3,"CIA CELG DE PARTICIPACOES - CELGPAR"
GRND3,"GRENDENE S.A."
GSHP3,"GENERAL SHOPPING E OUTLETS DO BRASIL S.A."
HAGA3,"HAGA S.A. INDUSTRIA E COMERCIO"
HAGA4,"HAGA S.A. INDUSTRIA E COMERCIO"
HAPV3,"HAPVIDA PARTICIPACOES E INVESTIMENTOS SA"
HBOR3,"HELBOR EMPREENDIMENTOS S.A."
HBRE3,"HBR REALTY EMPREENDIMENTOS IMOBILIARIOS S/A"
HBSA3,"HIDROVIAS DO BRASIL S.A."
HBTS5,"CIA HABITASUL DE PARTICIPACOES"
HETA4,"HERCULES S.A. FABRICA DE TALHERES"
HOOT4,"HOTEIS OTHON S.A."
HYPE3,"HYPERA S.A."
IFCM3,"INFRACOMMERCE CXAAS S.A."
IGTI11,"IGUATEMI S.A."
IGTI3,"IGUATEMI S.A."
IGTI4,"IGUATEMI S.A."
INEP3,"INEPAR S.A. INDUSTRIA E CONSTRUCOES"
INEP4,"INEPAR S.A. INDUSTRIA E CONSTRUCOES"
INTB3,"INTELBRAS S.A. IND DE TELEC ELETRONICA BRASILEIRA"
IRBR3,"IRB - BRASIL RESSEGUROS S.A."
ISAE3,"ISA ENERGIA BRASIL S.A"
ISAE4,"ISA ENERGIA BRASIL S.A"
